geometry,temp_C,coeff_Vmp_Voc,gmpp_V,gmpp_P_W,n_peaks,power_lost_frac,region_error,region_error_costly
sub_substring,45.0,0.8793,36.002,117.566,2,0.0692,False,True
uniform,60.0,0.8183,27.514,31.943,1,0.0032,False,False
whole_substring,60.0,0.5522,19.135,93.369,3,0.0126,False,True
whole_substring,60.0,0.5587,17.002,47.168,3,0.0194,False,True
whole_substring,60.0,0.837,25.294,70.084,2,0.02,False,True
sub_substring,45.0,0.2591,12.269,36.397,3,0.0087,False,False
whole_substring,60.0,0.8182,26.468,130.938,2,0.0055,False,False
whole_substring,25.0,0.538,19.427,124.398,2,0.0009,False,False
whole_substring,25.0,0.5717,20.983,108.556,3,0.0426,False,True
whole_substring,45.0,0.5516,22.086,114.787,3,0.0116,False,True
sub_substring,45.0,0.2602,10.544,42.684,3,0.0044,False,False
whole_substring,45.0,0.8451,38.947,285.177,2,0.0322,False,True
uniform,25.0,0.8068,37.59,322.255,1,0.0006,False,False
uniform,45.0,0.8089,16.416,90.018,1,0.001,False,False
sub_substring,45.0,0.8594,33.981,157.745,2,0.0467,False,True
whole_substring,60.0,0.5376,19.468,107.424,2,0.0005,False,False
whole_substring,25.0,0.8774,31.587,96.421,2,0.0623,True,True
sub_substring,60.0,0.5236,15.989,90.639,2,0.0031,False,False
uniform,45.0,0.7908,30.266,278.424,1,0.0011,False,False
whole_substring,60.0,0.5465,17.725,86.32,3,0.0061,False,False
sub_substring,25.0,0.2523,8.86,58.636,3,0.0297,False,True
sub_substring,60.0,0.5455,16.478,82.48,3,0.0051,False,False
whole_substring,45.0,0.5646,14.859,46.973,3,0.0306,False,True
sub_substring,45.0,0.5597,18.349,37.831,3,0.0221,False,True
whole_substring,60.0,0.5399,15.493,45.391,2,0.0011,False,False
whole_substring,45.0,0.5315,22.039,180.095,2,0.0001,False,False
sub_substring,60.0,0.9165,27.758,33.655,3,0.0645,True,True
sub_substring,25.0,0.2543,9.001,51.412,3,0.0247,False,True
sub_substring,45.0,0.574,23.54,95.51,3,0.0447,False,True
sub_substring,45.0,0.8541,36.001,187.883,3,0.0427,False,True
uniform,60.0,0.8379,27.096,38.757,1,0.0141,False,True
whole_substring,25.0,0.5694,20.865,90.721,3,0.0384,False,True
whole_substring,25.0,0.8821,31.899,82.384,3,0.0728,False,True
sub_substring,45.0,0.5291,18.224,121.343,2,0.0006,False,False
uniform,60.0,0.8127,22.576,59.826,1,0.0017,False,False
sub_substring,60.0,0.5293,21.314,158.503,2,0.0005,False,False
uniform,60.0,0.8079,21.584,53.343,1,0.0007,False,False
whole_substring,60.0,0.5134,17.43,131.291,2,0.0128,False,True
sub_substring,25.0,0.8337,39.178,302.725,1,0.0206,False,True
sub_substring,25.0,0.5764,24.145,67.684,3,0.0479,False,True
whole_substring,45.0,0.5723,22.243,88.891,3,0.0397,False,True
sub_substring,45.0,0.5416,17.844,38.938,2,0.0023,False,False
whole_substring,45.0,0.8502,28.285,114.563,2,0.0382,False,True
uniform,60.0,0.8107,28.43,194.168,1,0.0014,False,False
uniform,60.0,0.7925,22.476,51.765,1,0.0006,False,False
whole_substring,60.0,0.5592,22.107,76.662,3,0.0214,False,True
sub_substring,60.0,0.5494,17.518,65.742,3,0.009,False,False
sub_substring,45.0,0.5625,17.778,79.202,3,0.0237,False,True
sub_substring,25.0,0.6176,21.968,50.124,3,0.1146,False,True
sub_substring,25.0,0.2642,12.101,105.706,3,0.0008,False,False
sub_substring,45.0,0.8666,38.133,50.738,2,0.0504,False,True
sub_substring,60.0,0.5402,23.102,95.831,2,0.0014,False,False
sub_substring,25.0,0.8904,39.35,128.905,3,0.0897,False,True
whole_substring,25.0,0.5496,25.575,168.517,2,0.0093,False,False
sub_substring,45.0,0.5578,19.316,75.121,3,0.0204,False,True
sub_substring,45.0,0.5246,17.543,104.353,2,0.0025,False,False
sub_substring,60.0,0.581,24.367,114.491,3,0.0629,False,True
uniform,25.0,0.829,30.978,140.896,1,0.0101,False,True
sub_substring,25.0,0.5779,24.681,80.609,3,0.0518,False,True
whole_substring,25.0,0.8484,31.371,156.83,2,0.0365,False,True
whole_substring,45.0,0.8851,30.099,81.261,2,0.0772,False,True
sub_substring,45.0,0.93,31.135,57.219,3,0.0975,True,True
sub_substring,45.0,0.5314,18.074,99.417,3,0.0002,False,False
sub_substring,45.0,0.2483,9.721,67.52,3,0.0628,False,True
sub_substring,45.0,0.8854,23.057,70.665,3,0.0543,False,True
whole_substring,25.0,0.5456,23.279,132.37,2,0.0052,False,False
uniform,25.0,0.8486,28.18,25.422,1,0.0223,False,True
sub_substring,25.0,0.5321,19.288,140.784,2,0.0001,False,False
whole_substring,60.0,0.8296,30.732,87.756,2,0.0125,False,True
whole_substring,25.0,0.8729,28.362,154.078,2,0.0591,False,True
sub_substring,60.0,0.8829,34.189,40.252,3,0.0745,False,True
sub_substring,60.0,0.539,16.702,89.683,3,0.0013,False,False
uniform,60.0,0.8208,23.139,29.763,1,0.0043,False,False
sub_substring,45.0,0.5624,21.867,77.973,2,0.0222,False,True
uniform,60.0,0.8367,33.309,198.7,1,0.0128,False,True
sub_substring,60.0,0.2402,7.377,43.765,3,0.0569,True,True
whole_substring,25.0,0.8137,29.476,178.51,1,0.0033,False,False
whole_substring,25.0,0.8658,32.374,136.05,2,0.057,False,True
sub_substring,60.0,0.5617,17.173,59.789,3,0.023,False,True
sub_substring,25.0,0.5648,24.613,124.44,3,0.0423,False,True
sub_substring,60.0,0.5704,20.183,36.09,2,0.0322,False,True
whole_substring,60.0,0.855,31.13,64.902,2,0.0404,False,True
sub_substring,25.0,0.8924,31.292,59.256,3,0.0822,False,True
whole_substring,60.0,0.8741,23.538,61.887,3,0.0626,False,True
whole_substring,60.0,0.2434,7.835,44.85,2,0.0808,False,True
sub_substring,45.0,0.8925,34.552,50.526,3,0.082,False,True
sub_substring,45.0,0.6018,17.83,51.206,3,0.0726,False,True
whole_substring,60.0,0.2492,10.175,76.028,3,0.044,False,True
whole_substring,25.0,0.8606,37.986,128.368,2,0.0489,False,True
sub_substring,45.0,0.2476,7.851,49.941,3,0.0497,False,True
whole_substring,45.0,0.5339,17.566,81.763,2,0.0,False,False
sub_substring,45.0,0.5546,13.878,21.681,3,0.0142,False,True
whole_substring,25.0,0.8995,41.817,157.501,3,0.0572,True,True
sub_substring,45.0,0.9078,36.516,93.954,3,0.107,False,True
whole_substring,25.0,0.8382,31.345,221.264,2,0.0227,False,True
whole_substring,60.0,0.525,19.203,106.648,3,0.0024,False,False
whole_substring,25.0,0.8783,39.769,115.823,2,0.068,False,True
sub_substring,60.0,0.5734,18.397,63.628,3,0.0552,False,True
whole_substring,45.0,0.5469,17.337,80.715,2,0.0043,False,False
uniform,60.0,0.7742,24.447,181.19,1,0.008,False,False
whole_substring,25.0,0.5806,25.041,87.382,3,0.0522,False,True
sub_substring,25.0,0.2637,11.838,77.257,3,0.0012,False,False
whole_substring,45.0,0.5588,18.149,80.443,3,0.0197,False,True
sub_substring,45.0,0.5382,21.628,122.209,3,0.0011,False,False
sub_substring,60.0,0.5437,29.259,145.63,3,0.0042,False,False
whole_substring,60.0,0.86,26.975,114.129,2,0.0459,False,True
uniform,45.0,0.8408,33.101,51.691,1,0.0164,False,True
sub_substring,45.0,0.5351,17.618,72.038,2,0.0001,False,False
uniform,25.0,0.7953,29.145,200.258,1,0.0003,False,False
whole_substring,60.0,0.8529,35.195,142.157,2,0.0372,False,True
sub_substring,25.0,0.9135,39.956,154.894,3,0.1132,False,True
uniform,60.0,0.783,18.669,103.857,1,0.003,False,False
sub_substring,25.0,0.5667,24.518,70.485,3,0.0336,False,True
whole_substring,60.0,0.5363,20.708,71.667,2,0.0002,False,False
sub_substring,45.0,0.9136,35.054,25.353,3,0.1162,False,True
sub_substring,25.0,0.5597,25.801,101.817,2,0.0234,False,True
sub_substring,60.0,0.5694,17.381,48.345,3,0.0345,False,True
whole_substring,25.0,0.8897,33.338,82.691,3,0.0843,False,True
whole_substring,25.0,0.8553,34.666,239.347,2,0.0463,False,True
sub_substring,25.0,0.8866,32.226,84.257,3,0.0791,False,True
sub_substring,60.0,0.2573,7.767,38.686,3,0.021,False,True
whole_substring,45.0,0.552,19.347,125.499,3,0.0117,False,True
sub_substring,45.0,0.5546,22.349,103.779,3,0.0157,False,True
whole_substring,45.0,0.5431,18.242,94.772,3,0.0037,False,False
uniform,25.0,0.8475,38.791,154.789,1,0.0228,False,True
sub_substring,60.0,0.5647,17.558,53.674,3,0.0274,False,True
whole_substring,45.0,0.5744,22.027,43.267,3,0.0437,False,True
sub_substring,60.0,0.8502,31.912,70.924,3,0.0342,False,True
whole_substring,60.0,0.8333,29.759,58.553,2,0.0127,False,True
sub_substring,60.0,0.8274,29.759,192.51,1,0.0106,False,True
whole_substring,60.0,0.8039,22.399,117.345,2,0.0002,False,False
uniform,60.0,0.8027,20.548,134.877,1,0.0001,False,False
whole_substring,25.0,0.8535,38.653,183.319,2,0.0388,False,True
sub_substring,25.0,0.575,20.994,84.356,3,0.0484,False,True
sub_substring,60.0,0.8472,31.932,147.946,2,0.0322,False,True
sub_substring,60.0,0.8524,34.034,192.348,2,0.047,False,True
whole_substring,60.0,0.8008,30.928,169.547,1,0.0,False,False
whole_substring,45.0,0.8585,33.241,109.726,3,0.0422,False,True
whole_substring,45.0,0.5761,30.557,113.611,3,0.0467,False,True
whole_substring,45.0,0.8702,36.101,124.017,3,0.0602,False,True
sub_substring,25.0,0.8874,31.932,126.129,3,0.0743,False,True
whole_substring,45.0,0.5764,23.481,91.838,3,0.0466,False,True
whole_substring,25.0,0.2592,11.424,73.956,3,0.008,False,False
whole_substring,25.0,0.5417,24.143,167.813,2,0.0023,False,False
sub_substring,60.0,0.8003,23.102,127.063,1,0.0,False,False
whole_substring,45.0,0.5671,18.482,85.321,3,0.0304,False,True
uniform,45.0,0.8092,28.172,161.142,1,0.001,False,False
whole_substring,45.0,0.5103,17.694,144.566,2,0.0179,False,True
whole_substring,60.0,0.865,32.062,37.887,3,0.0484,False,True
sub_substring,25.0,0.5673,20.772,107.906,3,0.0356,False,True
sub_substring,25.0,0.5844,22.921,93.615,3,0.0591,False,True
uniform,45.0,0.8253,27.035,75.463,1,0.0071,False,False
whole_substring,25.0,0.843,31.482,180.943,3,0.0325,False,True
whole_substring,60.0,0.8619,26.605,86.941,2,0.0488,False,True
whole_substring,45.0,0.5485,18.29,86.56,3,0.0085,False,False
